Settlement ID,Order ID,Type,Order Date,Deposit Date,Potential Income,Potential Loss,Actual Profit
amazon_24746291521,114-8371645-4419464,Order,2025-10-30,,332.58,-27.22,261.16
amazon_24746291521,114-9116493-8452212,Order,2025-10-29,,128.17,-13.21,99.67
amazon_24746291521,111-2492492-2368203,Order,2025-10-29,,720.9,-38.21,572.7
amazon_24746291521,113-7770286-9420258,Order,2025-10-29,,187.66,-17.6,149.6
amazon_24746291521,111-6549721-4591457,Order,2025-10-29,,576.72,-34.17,458.16
amazon_24746291521,114-8631167-0539412,Order,2025-10-28,,224.69,-21.0,178.49
amazon_24746291521,114-3124257-3397019,Order,2025-10-28,,234.29,-22.0,168.92
amazon_24746291521,112-6082282-2333800,Order,2025-10-28,,237.04,-22.0,168.92
amazon_24746291521,112-1776731-9181848,Order,2025-10-27,,388.48,-28.79,305.74
amazon_24746291521,111-0077670-0280233,Order,2025-10-27,,167.45,-15.75,130.58
amazon_24746291521,114-6196745-4838642,Order,2025-10-25,,720.9,-38.21,572.7
amazon_24746291521,111-2899732-4253014,Order,2025-10-25,,720.9,-38.21,572.7
amazon_24746291521,113-5341196-7505022,Refund,2025-10-24,,0.0,0.0,-162.45
amazon_24746291521,114-4365649-1689865,Order,2025-10-23,,151.41,-14.95,120.84
amazon_24746291521,111-6986201-1950603,Order,2025-10-21,,376.26,-28.65,301.72
amazon_24746291521,111-6765691-2549865,Order,2025-10-21,,194.24,-17.98,152.87
amazon_24746291521,112-1220193-4329842,Order,2025-10-20,,243.79,-23.0,195.49
amazon_24746291521,112-9271285-9698660,Order,2025-10-20,,211.98,-20.0,169.98
amazon_24746291521,111-1447126-0553061,Order,2025-10-20,,141.63,-14.31,113.04
amazon_24746291521,111-1172774-4712231,Refund,2025-10-20,,0.0,0.0,-168.33
amazon_24746291521,112-8631378-0875425,Order,2025-10-19,,240.56,-22.0,168.92
amazon_24746291521,113-8783758-5482602,Order,2025-10-19,,241.44,-22.0,168.92
amazon_24746291521,113-7988588-8341057,Order,2025-10-17,,720.9,-38.21,572.7
amazon_24746291521,113-8117875-3015454,Order,2025-10-17,,273.26,-26.2,232.28
amazon_24746291521,111-7006447-5918624,Order,2025-10-17,,164.37,-15.75,130.58
amazon_24646454811,112-8171640-4813005,Order,2025-10-15,2025-10-18 06:01:40 UTC,191.53,-17.9,152.15
amazon_24646454811,113-8783758-5482602,Order,2025-10-15,2025-10-18 06:01:40 UTC,482.88,-31.2,337.84
amazon_24646454811,111-0707639-2892221,Order,2025-10-14,2025-10-18 06:01:40 UTC,227.31,-21.0,178.49
amazon_24646454811,113-3857224-9524219,Order,2025-10-14,2025-10-18 06:01:40 UTC,300.12,-26.47,239.86
amazon_24646454811,112-2527682-8689806,Order,2025-10-13,2025-10-18 06:01:40 UTC,149.27,-14.56,116.14
amazon_24646454811,113-4427459-3217063,Order,2025-10-13,2025-10-18 06:01:40 UTC,234.29,-22.0,186.99
amazon_24646454811,113-8452539-9806645,Order,2025-10-13,2025-10-18 06:01:40 UTC,224.69,-21.0,178.49
amazon_24646454811,113-1128270-7657847,Order,2025-10-13,2025-10-18 06:01:40 UTC,197.84,-17.98,152.87
amazon_24646454811,111-9597306-7283428,Refund,2025-10-13,2025-10-18 06:01:40 UTC,0.0,0.0,-123.81
amazon_24646454811,111-3281571-4766668,Order,2025-10-13,2025-10-18 06:01:40 UTC,229.41,-21.0,178.49
amazon_24646454811,111-6029529-3733824,Order,2025-10-12,2025-10-18 06:01:40 UTC,470.78,-31.2,339.92
